ID;Male;Female;Cage;Coupling Date;Separation Date;Success;Comment
260;o5r6;g2r5;2U3;30.01.2009;14.05.2009;1 Gen.;male bird is missing. Put new father once all juveniles are transferred.
261;b6r5;r5y18;2U4;30.01.2009;14.05.2009;1 Gen.;
262;r6y10;b15r6;O6;06.02.2009;16.06.2009;1 Gen.;no success after 1 generation
263;b16r6;o13r5;O2;06.02.2009;28.06.2009;3 Gen.;Not a good couple (4 Js in 3 gens)
264;p11r6;b18r6;O7;06.02.2009;09.05.2009;;
265;y16p-s2;o8r5;U6;06.02.2009;30.04.2009;1 Gen.;
266;b4r6;p15r5;M3;05.03.2009;09.05.2009;;
268;g6r6;p8r6;M6;05.03.2009;09.05.2009;;
270;g13p-purple20;r6s10;O1;05.03.2009;17.04.2009;1 Gen.;Song deprivation
271;g4r6;r6s4;U3;05.03.2009;05.06.2009;1 Gen.;
272;g19r7;g20r7;2M2B;12.03.2009;19.03.2009;;who coupled them? -> fictive coupling date
275;r7s5;o6r7;M5;26.03.2009;09.05.2009;1 Gen.;female was missing!
276;r7s7;o17r6;M7;26.03.2009;30.05.2009;No Success;
277;o1r1;k14r6;2U1;04.04.2009;30.05.2009;No Success;new couple
278;k13r2;o2r5;U2;03.04.2009;05.09.2009;3 Gen.;- separated to isolate juveniles - good couple: 2+3+5Js
279;b14r3;r6s13;2M4;01.05.2009;28.11.2009;2 Gen.;
280;b11r5;r5s1;2M2;09.05.2009;10.07.2009;No Success;
281;r5s14;r2s20;2M1;09.05.2009;22.06.2009;1 Gen.;new couple
282;k8r2;r2s18;2O3;09.05.2009;10.07.2009;No Success;
283;r7s5;p8r6;M5;09.05.2009;21.06.2009;;
284;r5y11;p15r5;O3;09.05.2009;30.07.2009;2 Gen.;Good Couple: 4 Js + 1 J
285;o2r7;p12r4;2O2;14.05.2009;17.07.2009;No Success;Separate this couple - no offspring in 2 months
286;s3k-y8;o15r7;2O4;14.05.2009;10.07.2009;No Success;
290;r7p1;p13r5;U1;14.05.2009;13.09.2009;3 Gen.;- separated to isolate juveniles - excellent couple: 4+5+5Js
291;r7s2;o17r7;O5;14.05.2009;10.07.2009;No Success;
292;o7r7;o15r6;M3;14.05.2009;10.07.2009;No Success;
293;p3r6;r5y18;U6;14.05.2009;28.11.2009;3 Gen.;nest removed
295;p11k-ch900;o18r7;M2;14.05.2009;10.07.2009;No Success;
296;g12r2;g4r7;2U3;22.05.2009;06.12.2009;3 Gen.;nest removed
297;b8r7;b4r7;2U4;22.05.2009;25.07.2009;No Success;Separate this couple - no offspring in 2 months
298;r5y15;o12r3;2M3;22.05.2009;26.11.2009;3 Gen.;
299;974;g2r5;U4;22.05.2009;15.11.2009;3 Gen.;
300;p2s2;b7br-b3k;U5;30.05.2009;30.07.2009;1 Gen.;Good couple: 3 Js
301;p10r6;purple16;M6;30.05.2009;25.07.2009;No Success;Separate this couple - no offspring in 2 months
302;b6r5;r7y4;O7;30.05.2009;07.07.2009;1 Gen.;Good Couple: 5 Js
303;p2r5;b5r7;U3;17.06.2009;19.11.2009;2 Gen.;
304;r5y14;r7y1;U7;17.06.2009;15.11.2009;3 Gen.;
305;p1r5;p4r7;2U1;17.06.2009;24.08.2009;No Success;
307;b7r7;r6s10;O6;21.06.2009;15.11.2009;3 Gen.;nest removed
309;o1r1;r2y1;M4;10.06.2009;21.11.2009;3 Gen.;nest removed -white offsprings
310;r011;o8r5;M7;10.06.2009;19.11.2009;2 Gen.;
311;g2r8;r7y2;O1;10.06.2009;24.08.2009;No Success;
312;g8r1;r5s13;O4;10.06.2009;24.08.2009;No Success;
315;g13r8;r2s20;2M1;09.05.2009;06.12.2009;3 Gen.;nest removed
316;b10r7;b15r6;M5;27.06.2009;29.01.2010;3 Gen.;nest removed - no tutor (claude)
317;b1r5;k10r7;2O1;03.07.2009;04.09.2009;No Success;
318;y12red;p15r6;O2;03.07.2009;04.09.2009;No Success;
319;b14r4;o19r5;M1;05.06.2009;06.12.2009;3 Gen.;nest removed
320;k8r2;o7r5;2M2;17.07.2009;29.01.2010;3 Gen.;nest removed
321;o10r8;r5s1;2O2;25.07.2009;20.12.2009;3 Gen.;Separated after 3 Generations
322;purple022;g17r8;2O3;25.07.2009;19.11.2009;1 Gen.;
323;o7r8;p10r5;2O4;25.07.2009;28.09.2009;No Success;
324;o1r8;o17r7;2U2;25.07.2009;28.09.2009;No Success;
326;o4r8;p5r7;M3;25.07.2009;19.11.2009;1 Gen.;white offspring
327;o8r8;k5r2;O5;25.07.2009;06.02.2010;2 Gen.;
328;purple050;o18r7;O7;25.07.2009;28.11.2009;1 Gen.;
329;o13r8;b4r7;M2;25.07.2009;24.01.2010;3 Gen.;nest removed
330;o2r8;o13r7;2U4;30.07.2009;28.09.2009;No Success;
331;o5r8;k10r2;M6;30.07.2009;28.11.2009;2 Gen.;nest removed (only 2 gen, not 3)
332;o11r8;g15r8;U5;07.08.2009;28.11.2009;1 Gen.;
333;o12r8;g19r2;O3;07.08.2009;24.01.2010;3 Gen.;nest removed
334;p14k;r5s4;2U1;29.08.2009;23.12.2009;3 Gen.;Sep. after 3 gen.
335;r6s5;o6r7;O1;29.08.2009;26.12.2009;3 Gen.;
336;p5r3;p12r4;O4;29.08.2009;28.10.2009;No Success;No offspring - maybe don't use this female (p12r4)
337;b20r8;o15r8;2O1;18.09.2009;25.10.2009;;No success breeding.
338;p13r8;r7s6;U2;18.09.2009;15.11.2009;No Success;no offspring in 60 days
339;b19r8;o20r8;O2;18.09.2009;15.11.2009;No Success;no offspring in 60 days
340;g19r8;p3o-sb;U1;18.09.2009;01.10.2009;No Success;Male died.
341;p10r8;b11r8;2O4;06.10.2009;06.02.2010;2 Gen.;
342;p7r8k;k10r7;2U2;06.10.2009;13.03.2010;3 Gen.;
343;p8r8;r8y19;2U4;06.10.2009;06.12.2009;No Success;No progeny during 61 days
344;p5r3;r8s8;U1;01.11.2009;28.01.2010;2 Gen.;Juveniles were taken for isolation
345;k13r2;o2r5;2O1;13.11.2009;25.02.2010;3 Gen.;3 gen
346;r7p1;p13r5;O4;13.11.2009;15.01.2010;No Success;
348;o1r10;o8r5;O2;19.11.2009;03.04.2010;3 Gen.;white female offspring, 3 gen separation
349;o10r10;o18r8;U2;19.11.2009;29.01.2010;No Success;
350;b11r7;o17r7;U7;19.11.2009;29.01.2010;No Success;
351;o12r10;p18r8;O6;21.11.2009;25.04.2010;2 Gen.;
352;o2r10;r8y18;U4;21.11.2009;24.01.2010;;
353;o8r10;o15r8;2O3;28.11.2009;05.03.2010;1 Gen.;white female offspring
354;o5r10;r8y20;M3;28.11.2009;05.03.2010;1 Gen.;
355;g18r10;r7s6;M7;28.11.2009;29.01.2010;No Success;
356;o7r10;b5r7;E11;28.11.2009;03.02.2010;2 Gen.;fast breeding couple
357;o4r10;k15r8;M4;28.11.2009;05.04.2010;3 Gen.;3 generations
358;g13r8;r2s20;2M1;06.12.2009;06.12.2009;3 Gen.;
359;purple050;r8p-s19o;O7;07.12.2009;05.03.2010;1 Gen.;
360;k17r8;r6s13;M6;07.12.2009;11.06.2010;3 Gen.;
361;g8r1;p5r7;U5;07.12.2009;14.02.2010;No Success;Bad male, should not be used for coupling
362;p15r8;r2y1;U6;07.12.2009;15.05.2010;3 Gen.;super couple, 3 gen
363;b14r3;r8s7;2M3;07.12.2009;27.03.2010;1 Gen.;watch the mother, she is losing a lot of feathers
364;o1r1;g15r8;2M4;07.12.2009;05.03.2010;1 Gen.;
365;k11r8;p12r4;M1;20.12.2009;30.12.2009;No Success;female died
366;r10s16;b18r10;2U4;20.12.2009;08.01.2010;;-This couple never existed (was r10s15)
367;r10s5;r10s17;2U3;20.12.2009;30.06.2010;4 Gen.+;
368;b10r10;r10s12;2M1;20.12.2009;20.02.2010;No Success;
369;b1r10;p3o-sb;2O2;16.12.2009;20.02.2010;No Success;
370;o5r8;k10r2;O1;02.01.2010;18.07.2010;4 Gen.;nest removed
371;r5y14;r7y1;2U1;02.01.2010;18.06.2010;3 Gen.;
372;r10s15;b18r10;2U4;20.12.2009;20.02.2010;No Success;
373;p2r5;b12r8;M1;09.01.2010;21.05.2010;1 Gen.;white female offspring
374;b14r10;p13r5;O4;24.01.2010;02.07.2010;3 Gen.;nest removed, separated
375;b16r1;o11p-p20;U6B;02.12.2007;07.03.2008;;
376;p20r8;o6r7;M2;29.01.2010;02.07.2010;3 Gen.;nest removed, separated
377;p3r6;g2r5;O3;29.01.2010;11.06.2010;2 Gen.;
378;974;r5y18;U1;29.01.2010;16.05.2010;2 Gen.;partner exchange test
379;b7r7;r6s10;U3;29.01.2010;06.06.2010;2 Gen.;no offspring for 60 days
380;r10y17;p4r8;U4;29.01.2010;09.07.2010;3 Gen.;
381;r10y2;o18r8;U2;06.02.2010;11.06.2010;1 Gen.;
382;g4r10;r10s11;U7;06.02.2010;05.06.2010;3 Gen.;3 gen., Juveniles isolated
383;p2r10;o13r7;M7;06.02.2010;18.02.2010;No Success;female died
384;r10y10;b7br-b3k;M5;06.02.2010;31.07.2010;2 Gen.;no offspring for 60 days
385;r7p1;b5r10;2M2;06.02.2010;04.04.2010;No Success;Remove all nesting material from the nest
386;b12r10;g19r2;O5;14.02.2010;18.06.2010;3 Gen.;
387;o11r10;r8y18;2O4;14.02.2010;31.07.2010;3 Gen.;good couple
388;p5r3;o12r3;U5;20.02.2010;25.04.2010;No Success;
389;p11r10;o17r7;M7;27.02.2010;30.06.2010;3 Gen.;Separated 3 gen to isolate juveniles
390;o3r10;r10y19;2O1;05.03.2010;30.05.2010;1 Gen.;no success (1 dead from 1st generation) couple destroys nest
391;o5r10;o15r8;2O2;05.03.2010;01.05.2010;No Success;
392;o3r8;b18r10;2M1;05.03.2010;06.08.2010;3 Gen.;good couple
393;o7r10;b5r7;2U4;05.03.2010;26.05.2010;2 Gen.;white female offspring, separated to isolate juveniles
394;o10r10;g5r11;2O3;14.03.2010;27.06.2010;1 Gen.;
395;g4r11;p15r6;2M4;14.03.2010;10.06.2010;2 Gen.;Separated to isolate juveniles
396;b8r10;r10y13;M3;14.03.2010;11.06.2010;1 Gen.;
397;o3r11;p4r7;O7;14.03.2010;01.05.2010;No Success;
398;o8r10;o7r5;2U2;18.03.2010;06.06.2010;1 Gen.;no offspring for 60 days
399;g12r2;g4r7;2M3;04.04.2010;06.08.2010;2 Gen.;
400;r10y14;r10y7;M4;12.04.2010;27.06.2010;1 Gen.;brother and sister wtf!! Their offspring have no claws (alessandro)
401;r5y15;r5s1;O2;16.04.2010;12.08.2010;3 Gen.;Separated to isolate juveniles
402;g13r8;r2s20;U5;02.05.2010;29.11.2010;4 Gen.;nest removed
403;p14k;b15r6;O6;02.05.2010;02.07.2010;No Success;Not successful, separated
404;o13r8;b4r7;O7;02.05.2010;09.07.2010;;
405;k13r2;o2r5;U6;30.05.2010;09.08.2010;2 Gen.;separated to isolate juveniles
406;o8r8;k5r2;M1;30.05.2010;31.07.2010;No Success;
407;p10r8;b11r8;U1;30.05.2010;10.10.2010;2 Gen.;
408;r10s13;p3r7;2O1;04.06.2010;08.07.2010;2 Gen.;Separated to isolate juveniles
409;r6s5;o19r5;2U2;11.06.2010;19.11.2010;3 Gen.;nest removed
410;o1r1;g17r8;U3;11.06.2010;02.09.2010;1 Gen.;
411;o7r10;r8s8;U7;11.06.2010;29.11.2010;3 Gen.;nest removed
412;r12s11;b13r12;M3;18.06.2010;18.10.2010;3 Gen.;Separated to isolate juveniles
413;r12s12;k16r11;O3;18.06.2010;24.10.2010;2 Gen.;
414;p13r10;o14r11;U2;18.06.2010;17.09.2010;2 Gen.;good couple, seperated isolates
415;o8r10;r11y2;M6;18.06.2010;17.11.2010;3 Gen.;Serpoarated to isolate juveniles
416;b14r4;k5r11;O5;27.06.2010;;4 Gen.;nest removed
417;o10r8;r11y8;2U1;27.06.2010;11.09.2010;1 Gen.;male died
418;o1r10;o15r8;2M4;27.06.2010;17.09.2010;2 Gen.;separated isolates, good couple!
419;o4r10;r12s2;2U4;02.07.2010;13.11.2010;2 Gen.;white females
420;k8r2;o12r3;2U3;02.07.2010;08.07.2010;;Mistake. Male is paired with other female
421;r11s16;o13r10;M4;02.07.2010;27.10.2010;3 Gen.;removed from M4 to E12
422;o3r8;b18r10;O1;03.10.2010;12.11.2010;1 Gen.;Separated to isolate juveniles
423;p1r11;p18r8;M7;02.07.2010;19.11.2010;1 Gen.;They keep killing newborns. Nest removed
424;k8r2;r7y1;2U3;09.07.2010;13.09.2010;No Success;
425;g4r11;r5y18;2O1;09.07.2010;13.11.2010;2 Gen.;
426;b14r10;r6s13;M2;09.07.2010;13.08.2010;1 Gen.;Separated to isolate juveniles
427;g4r10;r2y1;O4;09.07.2010;12.08.2010;1 Gen.;separated to isolate juveniles
428;r10s13;p13r5;O6;09.07.2010;02.10.2010;1 Gen.;no kids for 60 days
429;g20r11;r12y20;U4;18.07.2010;24.10.2010;2 Gen.;
430;g3r13;r6s10;O7;18.07.2010;07.09.2010;1 Gen.;Separated to isolate juveniles
431;r11y9;b3r13;O1;23.07.2010;25.09.2010;;no success
432;p11r10;o16r13;M2;15.08.2010;04.12.2010;1 Gen.;
433;o5r8;g19r13;M5;15.08.2010;;3 Gen.;
434;o12r10;p4r13;O4;15.08.2010;;3 Gen.;some white juveniles
435;r10s5;b2r13;O2;15.08.2010;14.11.2010;2 Gen.;juveniles w deformed beaks, separated to isolate juveniles
436;r5y14;b15r6;U6;15.08.2010;;3 Gen.;
438;974;p15r6;M1;20.08.2010;;3 Gen.;nest removed
439;r10y14;b5r7;2O4;02.09.2010;29.11.2010;1 Gen.;
440;r10y2;p3r7;2M3;02.09.2010;;3 Gen.;
441;p20r8;r10s17;O7;13.09.2010;22.11.2010;1 Gen.;separated to isolate juveniles
442;b12r10;g19r2;U3;13.09.2010;13.11.2010;No Success;
443;r12s14;b4r7;2U3;17.09.2010;;2 Gen.;
444;p8r12;o2r5;2U1;17.09.2010;24.12.2010;2 Gen.;Separated toisolate juveniles
445;g4r10;r10s11;U2;27.09.2010;;2 Gen.;
446;o11r10;r8y18;2M4;27.09.2010;29.11.2010;;
447;o6r11;g20r12;O6;10.10.2010;22.11.2010;1 Gen.;separated to isolate juveniles
448;b4r12;o6r7;U1;15.10.2010;;2 Gen.;
449;k13r2;k10r2;IS2;24.10.2010;;2 Gen.;reserved by Andreas & Alessandro
450;r5y15;r5s1;O3;24.10.2010;;1 Gen.;
451;g16r12;o17r7;IS10;24.10.2010;06.12.2010;1 Gen.;father dead
452;p15r8;r2y1;M4;31.10.2010;21.12.2010;1 Gen.;separated to isolate juveniles
453;r6s5;b11r8;O1;22.11.2010;28.12.2010;1 Gen.;Separated to isolate juveniles
454;g7r13;r6s10;O2;22.11.2010;;;
455;g5r13;r12y20;M6;22.11.2010;;1 Gen.;
456;k8r2;o19r5;U3;22.11.2010;28.12.2010;1 Gen.;Separated to isolate juveniles
457;r12s11;b13r12;2O1;28.11.2010;;1 Gen.;
458;b14r10;r6s13;2U4;28.11.2010;;1 Gen.;
459;r13s8;r14s20;M7;29.11.2010;;1 Gen.;
460;g3r13;r14y14;O6;29.11.2010;;1 Gen.;
461;g20r11;o11r13;O7;29.11.2010;;1 Gen.;
462;p13r10;r14y18;2U2;29.11.2010;;1 Gen.;
463;o6r11;o7r15;M3;03.12.2010;;1 Gen.;
464;p3r6;k8r13;U4;03.12.2010;;1 Gen.;
465;r10s5;k8r10;U5;03.12.2010;;2 Gen.;please check! Kill male if juveniles w deformed beak
466;p5r3;o13r10;U7;03.12.2010;;1 Gen.;
467;p8r8;g7r14;2O4;12.12.2010;;;
468;k17r8;r11y8;2M4;12.12.2010;;1 Gen.;
469;o1r14;g5r14;M2;12.12.2010;;2 Gen.;
470;p10r8;r10s17;M4;26.12.2010;;;
471;b8r15;o16r13;2U1;02.01.2011;;;
472;g14r15;r14y13;O1;02.01.2011;;;
473;b20r14;p2r13;U3;02.01.2011;;;
